BATTER,BATTER_ID
Yonder Alonso,475174
Ryon Healy,592387
Dee Gordon,543829
Jean Segura,516416
Mitch Haniger,571745
Robinson Cano,429664
Francisco Lindor,596019
Daniel Vogelbach,596129
Tyler Naquin,571980
Jason Kipnis,543401
Jose Ramirez,608070
Bradley Zimmer,605548
Kyle Seager,572122
David Freitas,571679
Roberto Perez,547379
Edwin Encarnacion,429665
Jonathan Schoop,570731
Brett Gardner,458731
Trey Mancini,641820
Tim Beckham,542921
Ronald Torreyes,591720
Adam Jones,430945
Didi Gregorius,544369
Manny Machado,592518
Miguel Andujar,609280
Giancarlo Stanton,519317
Anthony Santander,623993
Aaron Judge,592450
Tyler Austin,592122
Austin Romine,519222
Pedro Alvarez,476883
Chance Sisco,642082
Jace Peterson,607054
Justin Smoak,475253
Kevin Pillar,607680
Aledmys Diaz,649557
Yangervis Solarte,500208
Steve Pearce,456665
Randal Grichuk,545341
Gift Ngoepe,547912
Curtis Granderson,434158
Craig Gentry,502226
Chris Davis,448801
Luke Maile,571912
Albert Pujols,405395
Yan Gomes,543228
Mike Trout,545361
Martin Maldonado,455117
Lonnie Chisenhall,502082
Luis Valbuena,472528
Jefry Marte,527043
Justin Upton,457708
Zack Cozart,446359
Ichiro Suzuki,400085
Josh Donaldson,518626
Russell Martin,431145
Elvis Andrus,462101
Devon Travis,581527
Shohei Ohtani,660271
Erik Gonzalez,570481
Andrelton Simmons,592743
Brandon Guyer,446386
Adrian Beltre,134181
Jose Altuve,514888
Marwin Gonzalez,503556
Alex Bregman,608324
Jake Marisnick,545350
Nomar Mazara,608577
Robinson Chirinos,455139
Drew Robinson,592685
George Springer,543807
Carlos Correa,621043
Kole Calhoun,594777
Carlos Gonzalez,471865
A.J. Ellis,454560
Freddy Galvis,520471
Christian Villanueva,570799
Hunter Renfroe,592669
Manuel Margot,622534
Ryan Rua,607387
Shin-soo Choo,425783
Juan Centeno,518542
Rougned Odor,596059
Joey Gallo,608336
Jurickson Profar,595777
Nolan Fontana,545337
Rajai Davis,434658
Derek Fisher,605233
Max Stassi,545358
J.D. Davis,605204
Evan Gattis,594828
Carlos Perez,542208
Dansby Swanson,621020
Trevor Story,596115
Charlie Blackmon,453568
Nolan Arenado,571448
Mike Tauchman,643565
Eric Hosmer,543333
DJ LeMahieu,518934
Jose Pirela,517369
Chris Iannetta,455104
Cory Spangenberg,605486
Ryan McMahon,641857
Matt Szczur,519333
Kyle Freeland,607536
Gerardo Parra,467827
Carlos Asuaje,641319
Jose Abreu,547989
Carlos Gomez,460576
Tim Anderson,641313
Nicky Delmonico,547170
Matt Duffy,622110
Avisail Garcia,541645
Adam Engel,641553
Adeiny Hechavarria,588751
C.J. Cron,543068
Wilson Ramos,467092
Tyler Saladino,573135
Yoan Moncada,660162
Mallex Smith,605480
Yolmer Sanchez,570560
Rene Rivera,425784
Ian Desmond,435622
Ryan Flaherty,475247
Ender Inciarte,542255
Freddie Freeman,518692
Ozzie Albies,645277
Lane Adams,572669
Nick Markakis,455976
Tony Wolters,547172
Leury Garcia,544725
Denard Span,452655
Daniel Robertson,621002
Omar Narvaez,553882
Joe Wendle,621563
Welington Castillo,456078
Miguel Sano,593934
Eduardo Escobar,500871
Logan Morrison,489149
Brian Dozier,572821
Max Kepler,596146
Matt Davidson,571602
Eddie Rosario,592696
Byron Buxton,621439
Joe Mauer,408045
Jason Castro,488771
Matt Carpenter,572761
Marcell Ozuna,542303
Carlos Tocci,624636
Kendrys Morales,434778
Preston Tucker,605512
Ryan Zimmerman,475582
Trea Turner,607208
Tanner Roark,543699
Pedro Severino,600474
Michael A. Taylor,572191
Wilmer Difo,594694
Mitch Garver,641598
Chris Owings,572008
Paul Goldschmidt,502671
Daniel Descalso,518614
Yadier Molina,425877
Tommy Pham,502054
Dexter Fowler,451594
Ketel Marte,606466
Kolten Wong,543939
David Peralta,444482
Jose Martinez,500874
Zack Greinke,425844
Michael Wacha,608379
A.J. Pollock,572041
Bryce Harper,547180
Moises Sierra,501213
Anthony Rendon,543685
Pat Valaika,642162
Howie Kendrick,435062
Rafael Devers,646240
J.D. Martinez,502110
Christian Vazquez,543877
Brad Miller,543543
Mookie Betts,605141
Rob Refsnyder,608701
Eduardo Nunez,456488
Jesus Sucre,491696
Brock Holt,571788
Andrew Benintendi,643217
Mitch Moreland,519048
Ryan LaMarre,534606
Robbie Grossman,543257
Jarrod Dyson,502481
Paul DeJong,657557
Jeff Mathis,425772
Kevin Kiermaier,595281
Hanley Ramirez,434670
Xander Bogaerts,593428
Matt Adams,571431
Kurt Suzuki,435559
Peter Bourjos,488721
Evan Longoria,446334
Nick Ahmed,605113
Alex Avila,488671
Andrew McCutchen,457705
Austin Jackson,457706
Caleb Joseph,543376
Josh Reddick,502210
Brian McCann,435263
Brian Goodwin,571718
Charlie Culberson,518586
Abraham Almonte,501659
Ian Kinsler,435079
Jon Jay,445055
Buster Posey,457763
Brandon Belt,474832
Hunter Pence,452254
Kelby Tomlinson,605509
Gorkys Hernandez,491676
Brandon Crawford,543063
Alcides Escobar,444876
Mike Moustakas,519058
Jorge Soler,624585
Cheslor Cuthbert,596144
Paulo Orlando,449181
Colby Rasmus,458675
Cam Gallagher,595956
Whit Merrifield,593160
Lucas Duda,446263
Drew Butera,460077
Guillermo Heredia,628338
Andrew Romine,461865
Ivan Nova,467100
Sean Rodriguez,446481
Starling Marte,516782
Gregory Polanco,570256
Josh Harrison,543281
Colin Moran,592567
Enrique Hernandez,571771
Logan Forsythe,523253
Deven Marrero,571918
Chris Taylor,621035
Max Scherzer,453286
Jon Gray,592351
Josh Bell,605137
Jake Odorizzi,543606
Corey Dickerson,572816
Francisco Cervelli,465041
Jordy Mercer,474568
Ian Happ,664023
Javier Baez,595879
Victor Caratini,605170
Kyle Schwarber,656941
Addison Russell,608365
Adam Frazier,624428
Yasiel Puig,624577
Corey Seager,608369
Patrick Corbin,571578
Kyle Farmer,571657
Matt Kemp,461314
Willson Contreras,575929
Tucker Barnhart,571466
Tyler Mahle,641816
Scooter Gennett,571697
Matt Wieters,446308
Matt Reynolds,608703
Blake Swihart,596119
Elias Diaz,553869
Ben Zobrist,450314
Jason Heyward,518792
Lorenzo Cain,456715
Eric Thames,519346
Orlando Arcia,606115
Manny Pina,444489
Ryan Braun,460075
Jonathan Villar,542340
Tommy La Stella,600303
Travis Shaw,543768
Kris Bryant,592178
David Freese,501896
Sandy Leon,506702
Tzu-Wei Lin,624407
Jackie Bradley,598265
Joey Votto,458015
Anthony Rizzo,519203
Tyler Chatwood,543022
Adam Duvall,594807
Eugenio Suarez,553993
Cliff Pennington,460060
Jesse Winker,608385
Billy Hamilton,571740
Derek Dietrich,518618
Hernan Perez,541650
Brandon Woodruff,605540
Domingo Santana,570267
Kyle Hendricks,543294
Josh Hader,623352
Gary Sanchez,596142
Cameron Maybin,457727
Amed Rosario,642708
Yoenis Cespedes,493316
Asdrubal Cabrera,452678
Starlin Castro,516770
Chad Wallach,595453
Wilmer Flores,527038
Tomas Nido,621512
Adrian Gonzalez,408236
Jarlin Garcia,606424
Juan Lagares,501571
Justin Bour,571506
Michael Conforto,624424
Miguel Rojas,500743
Jay Bruce,457803
Todd Frazier,453943
Danny Valencia,502143
Marcus Semien,543760
Jed Lowrie,476704
Ryan Schimpf,572114
Neil Walker,435522
Aaron Hicks,543305
Lewis Brinson,621446
Bryan Holaday,592407
JB Shuck,543776
Jameson Taillon,592791
Brian Anderson,605119
Tomas Telis,542513
Kevin Plawecki,608700
Jose Reyes,408314
Joe Panik,605412
Austin Hedges,595978
Franchy Cordero,614173
Chris Stratton,608717
Clayton Richard,453385
Matt Joyce,459964
Matt Chapman,656305
Jonathan Lucroy,518960
Stephen Piscotty,572039
Khris Davis,501981
Jake Smolinski,519295
Daniel Mengden,596043
Tyler Wade,642180
Jeimer Candelario,600869
Leonys Martin,547982
Nicholas Castellanos,592206
Miguel Cabrera,408234
Mikie Mahtook,543484
Dixon Machado,553988
Nick Hundley,460026
Gregor Blanco,453923
Chad Bettis,518452
Bryan Mitchell,571951
Wil Myers,571976
Chase Headley,452104
Joc Pederson,592626
Chase Utley,400284
Cody Bellinger,641355
Trayce Thompson,572204
Jose Iglesias,578428
John Hicks,543308
Niko Goodrum,592348
Clayton Kershaw,477132
Zack Godley,643327
John Ryan Murphy,571974
Yasmani Grandal,518735
Austin Barnes,605131
JaCoby Jones,592444
Mark Canha,592192
Matt Olson,621566
James McCann,543510
Rhys Hoskins,656555
Jorge Alfaro,595751
Maikel Franco,596748
Nick Williams,608384
Carlos Santana,467793
Scott Kingery,664068
Braxton Lee,657658
Odubel Herrera,546318
Vince Velasquez,592826
Victor Reyes,622682
Pablo Sandoval,467055
Michael Brantley,488726
Victor Martinez,400121
Pedro Florimon,465753
Aaron Altherr,571437
Cesar Hernandez,514917
Yadiel Rivera,592680
Jake Lamb,571875
Nelson Cruz,443558
Taylor Motter,600301
German Marquez,608566
Taijuan Walker,592836
Luis Perdomo,606131
Brandon Drury,592273
Greg Garcia,594824
Jett Bandy,542908
Jacob Degrom,594798
Jack Flaherty,656427
Christian Yelich,592885
Adam Wainwright,425794
Dan Jennings,543359
Francisco Pena,506747
Junior Guerra,448855
Harrison Bader,664056
Mike Marjama,605357
Eric Sogard,519299
Adam Eaton,594809
Stephen Strasburg,544931
Miguel Montero,471083
Brandon Nimmo,607043
Devin Mesoraco,519023
Jose Peraza,606299
Trevor Williams,592866
Luis Castillo,622491
Felix Hernandez,433587
Johnny Cueto,456501
Ronald Guzman,608597
Phillip Ervin,640447
Isiah Kiner-Falefa,643396
Yuli Gurriel,493329
J.P. Crawford,641487
Jesus Aguilar,542583
Albert Almora,546991
Andrew Knapp,595284
Teoscar Hernandez,606192
Ehire Adrianza,501303
Phillip Evans,595943
Noah Syndergaard,592789
Alex Gordon,460086
Travis D'Arnaud,518595
Matt Harvey,518774
Boog Powell,621471
Phil Gosselin,594838
Steven Brault,643230
Homer Bailey,456701
Chris Young,455759
Garrett Cooper,643265
Steven Matz,571927
Jose Lobaton,446653
Miles Mikolas,571945
Bruce Maxwell,622194
Yairo Munoz,622168
Jedd Gyorko,576397
Eddie Butler,572750
Efren Navarro,519068
Robbie Ray,592662
Jon Lester,452657
Rich Hill,448179
Joey Lucchesi,664192
Luke Weaver,596133
Tyson Ross,475115
Alex Blandino,607468
Sean Manaea,640455
Ty Blach,621389
Hyun-Jin Ryu,547943
Brandon Finnegan,605232
Chad Pinder,640461
Brent Suter,608718
Brian Johnson,598271
Carlos Martinez,593372
Brett Phillips,621433
Anibal Sanchez,434671
Gio Gonzalez,461829
Yu Darvish,506433
Mike Foltynewicz,592314
Scott Schebler,594988
Derek Holland,502706
Ryan Goins,572365
Jake Arrieta,453562
Odrisamer Despaigne,628333
Johnny Field,608654
JT Chargois,608638
Julio Teheran,527054
Nick Pivetta,601713
Paul Sewald,623149
Chad Kuhl,641771
Dillon Peters,596071
Shane Robinson,453203
Chris Stewart,455755
A.J. Cole,595918
Jhoulys Chacin,468504
Brandon McCarthy,435221
Ben Lively,594902
